Abu Dhabi|AE|24.4538352,54.3774014
Abuja|NG|9.0643305,7.4892974
Accra|GH|5.5571096,-0.2012376
Adamstown|PN|-25.066667,-130.100205
Addis Ababa|ET|9.0107934,38.7612525
Algiers|DZ|36.7753606,3.0601882
Amman|JO|31.9515694,35.9239625
Anchorage|US|61.2163129,-149.894852
Ankara|TR|39.9207886,32.8540482
Antananarivo|MG|-18.9100122,47.5255809
Ashgabat|TM|37.9404648,58.3823487
Asmara|ER|15.3389667,38.9326763
Atlanta|US|33.7489924,-84.3902644
Auckland|NZ|-36.852095,174.7631803
Augusta|US|33.4709714,-81.9748429
Austin|US|30.2711286,-97.7436995
Baghdad|IQ|33.3061701,44.3872213
Baku|AZ|40.3755885,49.8328009
Bamako|ML|12.649319,-8.000337
Bandar Seri Begawan|BN|4.8895453,114.9417574
Bangkok|TH|13.7524938,100.4935089
Bangui|CF|4.3907153,18.5509126
Barcelona|ES|41.3828939,2.1774322
Basseterre|KN|17.2960919,-62.722301
Beijing|CN|39.906217,116.3912757
Belgrade|RS|44.8178131,20.4568974
Bengaluru|IN|12.9767936,77.590082
Berlin|DE|52.5170365,13.3888599
Bishkek|KG|42.8765615,74.6070079
Bissau|GW|11.861324,-15.583055
Bogotá|CO|4.6534649,-74.0836453
Boston|US|42.3554334,-71.060511
Boulder|US|40.0154155,-105.270241
Bratislava|SK|48.1516988,17.1093063
Brazzaville|CG|-4.2694407,15.2712256
Bucharest|RO|44.4361414,26.1027202
Budapest|HU|47.4979937,19.0403594
Buenos Aires|AR|-34.6075682,-58.4370894
Canberra|AU|-35.2975906,149.1012676
Caracas|VE|10.5060934,-66.9146008
Changsha|CN|28.2491934,113.0748296
Charlotte|US|35.2272086,-80.8430827
Chengdu|CN|30.6598628,104.0633717
Chennai|IN|13.0836939,80.270186
Chicago|US|41.8755616,-87.6244212
Chongqing|CN|29.5647398,106.5478767
Cincinnati|US|39.1014537,-84.5124602
Cleveland|US|41.4996574,-81.6936772
Columbus|US|39.9622601,-83.0007065
Dakar|SN|14.693425,-17.447938
Dallas|US|32.7762719,-96.7968559
Denver|US|39.7392364,-104.984862
Detroit|US|42.3315509,-83.0466403
Dhaka|BD|23.7644025,90.389015
Dublin|IE|53.3498006,-6.2602964
Florence|IT|43.7698712,11.2555757
Frankfurt|DE|50.1106444,8.6820917
Guangzhou|CN|23.1301964,113.2592945
Havana|CU|23.135305,-82.3589631
Helsinki|FI|60.1674881,24.9427473
Hong Kong|CN|22.2793278,114.1628131
Honolulu|US|21.304547,-157.855676
Houston|US|29.7589382,-95.3676974
Hyderabad|IN|17.360589,78.4740613
Indianapolis|US|39.7683331,-86.1583502
Islamabad|PK|33.6938118,73.0651511
Jakarta|ID|-6.1753942,106.827183
Kabul|AF|34.5260109,69.1776838
Kansas City|US|39.100105,-94.5781416
Karachi|PK|24.8546842,67.0207055
Kathmandu|NP|27.708317,85.3205817
Kinshasa|CD|-4.3217055,15.3125974
Kobe|JP|34.6932379,135.1943764
Kyoto|JP|35.021041,135.7556075
Lagos|NG|6.4550575,3.3941795
Lahore|PK|31.5656822,74.3141829
Las Vegas|US|36.1672559,-115.148516
Libreville|GA|0.390002,9.454001
Lima|PE|-12.0621065,-77.0365256
Lisbon|PT|38.7077507,-9.1365919
Loja|EC|-3.996845,-79.2016661
London|GB|51.5073219,-0.1276474
Los Angeles|US|34.0536909,-118.242766
Madrid|ES|40.4167047,-3.7035825
Manila|PH|14.5948914,120.9782618
Marrakesh|MA|31.6258257,-7.9891608
Mexico City|MX|19.4326296,-99.1331785
Miami|US|25.7741728,-80.19362
Milan|IT|45.4641943,9.1896346
Milwaukee|US|43.0349931,-87.922497
Minneapolis|US|44.9772995,-93.2654692
Minsk|BY|53.9024716,27.5618225
Montevideo|UY|-34.9058916,-56.1913095
Montreal|CA|45.5031824,-73.5698065
Moscow|RU|55.7504461,37.6174943
Mumbai|IN|19.0785451,72.878176
Munich|DE|48.1371079,11.5753822
Nagoya|JP|35.1851045,136.8998438
Nanjing|CN|32.0437694,118.7788749
New Delhi|IN|28.6138954,77.2090057
New York|US|40.7127281,-74.0060152
Nice|FR|43.7009358,7.2683912
Ningbo|CN|29.8622194,121.6203873
Nizhny Novgorod|RU|56.3264816,44.0051395
